series,scan_id,class,mask size,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis
1001,1001-rem-041,rem,34626,1126.0,1180.0,1327204.7892046438,2.0376863800983807,26.0,31.613096849097733,1280.0,18.884701030645655,1151.6581470571248,1154.0,722.0,558.0,11.684522029074817,1152.0437444839688,-3.222423453235062,0.3141088267744499,888.3015215940387,347.318971073374,530.0502691196114,-25.47006531568189,4.133739040557938,1.1322645417602963,0.5687587667926903,0.7453974780638659,1.5012119242407316,0.5614214639262486,0.6817868197111041,0.6643337321719143,0.9980520011931237,0.9707618337550727,-0.1182145969801965,0.5873034098562573,0.4898030299096716,18.616352465887267,0.1161916821345308,3.78414817109273,0.8254103296099589,0.2249436402374391,37.232704931774535,2.723466080022245,1.316500895579558,5503.019840391714,0.2678514973437737,2.085392345048244,345.32429553199364,4.439478414545942,1551.6204534131366,0.012975156219272,0.003103206340058,3.819894570067978,9221.98341202928,0.442387852156086,0.5932175244036273,1.4901876713661928,0.6836433079397345,235.04941352165983,0.0021867031117672,927.1956286518068,0.2006482641531718,5.873530233087649,336.985933780567,30696.52845704393,11074277.825795282,85.0957441875596,0.003759894280576,1191.9915602683402,0.2579509976776326,0.5150077365460707,169.46716980702195,0.0023044253373869,5.474538197402036,0.133454629469185,30640.38066117155,6.2832342475107,0.0002043831231029,201.27487824793528,0.0031124529904146,0.2092507511153681,4.670672229087748,5219.256916767747,0.1507323085764381,3.297276517033336,10876.332235892103,1.4988456219197113,347.116646450644,21.396003003523365,7493.801218737365,0.0615983451023471,0.0030120447177735,0.1360663473383881,45.98264748540543,0.0005050891831832
1001,1001-t01-051,t01,218,1076.0,1135.3,1224192.2110091744,2.0118612062492462,30.75,2.6857122025263496,1166.0,18.583284235333725,1106.1926605504586,1106.0,1046.0,120.0,13.44705306122449,1106.4321990113874,0.0827449743613648,0.2841511657267906,530.0087534719298,14.129759769468215,14.306929235385326,-0.0367600080966224,2.317711637347369,1.4737256149639848,0.2234513188012857,0.9062394215013748,1.5712974347401287,0.606983388695266,0.6308599339733766,0.6030686845059378,0.9633341749025364,0.8801471831013249,-0.091941346317494,0.5138607759314079,0.5058725210364353,3.73077728028845,0.0882187336622081,3.8182798500210056,0.3759200522756032,0.1674766692988992,7.4615545605769,2.5895899825980875,0.9478593130778386,39.49743672176077,0.2605910554571857,1.1113961941292492,15.1757795453557,2.666901389275889,40.59767345769312,0.2296329709100223,0.0982357658556926,3.245006088594118,80.87335409682231,0.5265088820928843,0.6961009174311927,0.5431466885991065,0.7467221853477715,11.207332653299916,0.0784322701314639,11.25925925925926,0.2085048010973937,1.6899862825788752,15.407407407407408,40.92592592592592,597.1851851851852,3.2660236625514405,0.121059670781893,13.296296296296296,0.2462277091906721,0.4982428884527693,7.138022757969707,0.075939815305325,4.2953922445128425,0.2477064220183486,24.628257887517144,1.510529427613459,0.0302431391823551,9.442322068068892,0.0436358703470598,0.319590163132786,4.373903552957655,38.76146788990825,0.1778048985775608,2.437926100496591,61.944954128440365,0.9606935443144516,15.247706422018348,14.211009174311927,219.1743119266055,1.0928631498470949,0.0921546890927624,0.2064964036073144,3.0268090661340987,0.0263798151304779
1002,1002-rem-048,rem,19389,1154.0,1201.0,1387140.7555314868,1.8847647173963664,23.0,19.055467417348364,1376.0,16.56847110394877,1177.485017277838,1176.0,838.0,538.0,9.67202750648005,1177.7693982828246,-0.782362451023464,0.3518393066306564,669.7896176965916,214.89504452478064,159.91784714025826,1.001323893751244,3.3712919158845613,0.7671512899459434,0.6279524168159615,0.5667121286757928,1.2860041060502148,0.4362416819172688,0.7422602169602268,0.7344315410166533,0.9985671359796984,0.9767023999469692,-0.1852834983136598,0.6881059782154284,0.4493477729677111,14.637076267901286,0.1553091116739231,3.361982766489378,0.8188944137449583,0.2454402999221516,29.27415253580257,2.606282349186952,1.034610801457626,2895.3411031581963,0.2977895970863149,1.6193129323744206,214.38786796399117,7.050796635535025,1515.4923979252833,0.0334437307291534,0.0050036126225206,4.072753798734438,3496.441527532472,0.3524401988038551,0.4996905461859817,2.755991443001411,0.6000992399442459,128.1286029353928,0.0031213332293893,281.2064191315293,0.1769706854194646,4.71636142279303,207.8640654499685,26676.945877910635,5530709.032095658,129.2713036561738,0.0063882363982517,360.4625550660793,0.2268486816023154,0.4782348540438018,94.46717093979244,0.0038464645139269,5.721337525517852,0.0819536850791686,26528.056736032537,4.536311596518458,0.0003753677369823,122.97344204444,0.0020690331868199,0.2699342452561132,4.655922878631307,2736.7257207695084,0.1411483687023316,3.7166373288841834,6821.812316261798,1.1452916034543266,214.8517200474496,28.741399762752074,6185.324668626541,0.1351601256893381,0.004850541401876,0.0934681917873863,19.455051281567485,0.0005738719334565
1002,1002-t01-048,t01,173,1082.0,1148.4,1240891.3179190753,2.0540413777730344,30.0,3.080542951427814,1170.0,19.57786762003408,1113.676300578035,1114.0,1044.0,126.0,13.175173282923756,1113.9530142331298,-0.2201386022855667,0.2895853519997327,616.4154498980922,17.418692706368912,26.838985086528357,-0.5220741551874671,2.9828029632829622,1.2375166954663348,0.4162883244008897,0.8214908330528377,1.5202655754114245,0.5386629025050605,0.6536515758684495,0.6308571697149309,0.9686140812878294,0.8898379308526587,-0.1164427735288896,0.596368795207872,0.5041299105477764,4.1209652667456735,0.0953182476425912,3.8721232558131455,0.4484567251712925,0.2110016097425019,8.241930533491347,2.7606412099940263,1.0550799146873242,30.133685960849967,0.2592686577133442,1.2163650913190909,17.579659801640794,3.117717233950805,56.03646505975416,0.2285184370364733,0.0923083874592539,3.3375869709191366,59.73556424026322,0.5066485896256724,0.6705202312138727,0.8043471544892905,0.7301878911421396,12.569116816179378,0.0742203836697586,7.277777777777778,0.2021604938271605,1.9899691358024687,16.47222222222222,125.25,2109.527777777778,7.879598765432099,0.1426697530864197,8.11111111111111,0.2253086419753086,0.4279652781392101,6.408880586741962,0.0918055586604943,4.329239931817572,0.2080924855491329,102.15663580246913,1.004977179186498,0.0415604085915534,8.471429373853717,0.0432390800810473,0.4912157471459935,4.25185982606084,31.046242774566476,0.1794580507200374,2.4165190951919544,50.09826589595376,1.0597079755421164,17.85549132947977,15.635838150289016,285.7167630057804,1.0185709698137444,0.083179190751445,0.1689450375525933,2.758382322100324,0.0251182982374602
1003,1003-rem-19,rem,39921,1084.0,1150.0,1248957.6467773854,2.180904323825469,34.0,4.631097201648302,1230.0,20.843705701541538,1117.2447834473085,1118.0,896.0,334.0,14.592141586254485,1117.5677369973532,-0.3529873765198274,0.2654453355477014,721.7406371622178,104.73931957738353,51.74113810876301,-2.6134782447529163,3.1216369090021843,1.6640733330315924,0.303970198787637,0.9645789853304202,1.720286971375184,0.7235492158271815,0.6172280005390791,0.5863165644236463,0.9927729443854728,0.9421943870809826,-0.0432181095192769,0.3865422698999722,0.5042879841575656,10.21640466423896,0.0767618595211876,4.229580233288912,0.6163160136257961,0.1593438902586382,20.432809328477923,2.831313189849596,1.1964275605084442,6507.814715479648,0.237603737514962,1.466287563787572,105.73925881523196,2.9157177173031954,306.1876338392682,0.0289477173932416,0.0101331438084252,3.562569779336385,14780.085762101173,0.5376716265893354,0.6862240424839058,0.7793266283588576,0.7596397302411166,80.50334307545049,0.0077598934125118,1614.9243154307203,0.1897901416653802,2.682136717358754,107.1570102244682,944.8138441650018,95227.91009519332,9.399484826394348,0.0106588465075854,2399.484193207192,0.2819936764845684,0.5442755216375442,59.01239146451927,0.0059583545013199,5.180959050565153,0.213145963277473,922.8025399637344,25.302107015086484,0.0001674892018095,84.20081096503498,0.0085377578338667,0.0257097524575995,4.641714865425476,6971.434758648331,0.1746307647265431,2.559557385298403,10596.84324039979,1.2376635044312965,105.44472833846848,14.881115202524986,1557.9919591192606,0.1462234613247683,0.0100416741423084,0.1972218572960887,21.1275719013037,0.0020826699631021
1003,1003-t01-22,t01,310,1068.0,1140.0,1218519.0322580645,2.256161090312632,34.0,2.8295089800507705,1176.0,22.596795005202917,1103.5032258064516,1102.0,1030.0,146.0,16.078982873287725,1103.865495546475,0.0280377189297329,0.2408740894901144,799.6628928199793,13.561144539131488,34.31210264246559,1.2904829253012244,3.4309455755357785,1.9604591567038376,0.2715775845429015,1.0598240883542196,1.8013121515237118,0.8239551451823082,0.5961172897501639,0.5583950413914831,0.9640458478525316,0.8791830178357144,-0.0638211054077513,0.4899815609886533,0.4868027529262798,3.6322739950055647,0.0640052208170732,4.359792662806445,0.3485262987748304,0.1200090376726861,7.264547990011129,2.8911159156865667,1.3478511830599038,50.03940304506376,0.2223135036415846,1.5415203691334447,14.917616978809662,2.415326604475012,34.85360989348227,0.2626102562582586,0.1287714709468027,3.4071030312972117,130.40276681429154,0.5764289478531999,0.7266129032258065,0.5094446954751125,0.7848819342219688,11.84574912617518,0.1070510858329206,15.523809523809524,0.1848072562358276,2.4709467120181405,15.654761904761903,50.30952380952381,627.0833333333334,4.820325626282259,0.1741384569700896,23.80952380952381,0.2834467120181406,0.5375017600536622,8.20426515033035,0.1099017200560405,4.495279669433624,0.2709677419354839,36.68990929705216,1.935406673162444,0.021009057614678,15.077361469487066,0.0510530276401789,0.3124664055149677,4.505633401555256,59.148387096774194,0.1908012486992716,2.0617689906347554,74.67096774193548,1.355057232049948,14.712903225806452,12.219354838709677,170.79677419354837,1.1725810657596372,0.1200308865481676,0.2300568173505961,3.499364402750347,0.0391453258316468
1004,1004-rem-15,rem,25498,1123.0,1155.0,1298004.5668287708,1.3145991753563744,16.0,5.559217658966599,1206.0,10.386710817311068,1139.2157424111697,1139.0,1032.0,174.0,6.877313786477001,1139.3000337175326,-0.2264772637057416,0.5120747459835314,192.0590713387778,26.02494163744113,6.176354630228586,-0.078704187715051,1.017311253105354,0.4504570910868877,0.3858952185919803,0.4071110605202118,1.0722335376724623,0.2816157527588872,0.8035591146313027,0.8007776686144392,0.9931318891627442,0.9552443729136616,-0.1026656165548484,0.4636469623968483,0.3702094010659623,5.087556048288405,0.2959802578019778,2.4689960960398354,0.5686898892106009,0.5064863421050573,10.17511209657681,1.956670156370203,0.3669420860480604,3472.1497880217444,0.3472517510837444,0.636954464670239,26.772249604469504,13.992869083480656,358.1042935127116,0.5615799312671572,0.0419331625029621,3.890440017089776,3120.156789378234,0.3058163851530939,0.3923543022982194,7.164637805309175,0.5614313052737707,15.227313578804328,0.0241528852481537,836.4029546612328,0.4260840319211578,1.2303399959879262,26.94345389709628,152843.66887417217,3821611.9347936832,6113.7224345033055,0.0467344671779392,496.3387671930718,0.2528470540973366,0.5089859361137576,13.337408711234296,0.0246892512655096,4.250706801987179,0.0769864303082594,152674.9469054222,50.978342500088914,0.0003176283576228,10.726230354472786,0.0047264351363944,0.0106100891367948,3.957838271628399,3314.498156718174,0.1299905152058268,4.9083271691471655,13056.881873088085,0.3752686626720767,26.192093497529218,39.26158914424661,1007.636442073888,1.572306400771018,0.0408351487018056,0.0815109101959809,2.1734013609147653,0.003657281688016
1004,1004-t01-19,t01,60,1109.8,1163.1,1297694.5,1.6504261427983633,29.0,2.4180520385871915,1188.0,16.233333333333334,1139.0,1140.0,1102.0,86.0,12.181423611111114,1139.1639478143609,0.0636852113640698,0.355,373.5,4.837715169537873,7.812948119003776,0.3670297664068709,1.8066931183922763,0.7175916051408258,0.4327576680401043,0.6247518457752256,1.177352631744365,0.3114510799016035,0.7030973703399872,0.6969080530489472,0.9594270778040502,0.878144289490475,-0.1473237148678163,0.6108000455465231,0.5435170563303254,2.136603602679792,0.1343120494409379,3.1250106108463496,0.4477765126688553,0.2167692097347552,4.273207205359584,2.3789804272991564,0.6310711808832756,13.533467525101104,0.3484729030559153,0.6202381379794566,5.472505727397957,3.325932221493764,16.958917429705856,1.1848248547278963,0.3391235473556978,2.8602292334484627,19.000732959609877,0.4701608512484004,0.65,0.6909518125286881,0.6778639562917074,3.938511741575057,0.2128408920283344,2.142857142857143,0.3061224489795918,0.8163265306122449,7.428571428571429,146.0,629.8571428571429,49.02380952380952,0.2708333333333333,1.8571428571428568,0.2653061224489796,0.118440092766692,1.1284730825976617,0.0172932679771905,2.807354922057602,0.1166666666666666,72.53061224489797,1.2969261778785597,0.1223895094706167,2.5309314506404226,0.0437628113977072,0.5933641628878015,3.637012040734715,14.466666666666669,0.2411111111111111,1.56,21.3,0.5941666666666666,5.216666666666667,16.0,73.35,6.204166666666667,0.3543981481481481,0.0969131944444444,0.6112546296296296,0.0281645126028806
1004,1004-t02-25,t02,152,1062.1,1110.9,1182513.0263157894,1.718695549036497,29.0,2.241172214557161,1130.0,15.627943213296398,1087.2763157894738,1088.0,1043.0,87.0,11.650694444444444,1087.4341480364635,-0.0846231894869676,0.3286876731301939,343.23943905817174,8.903733813377972,7.798862981242346,0.0161235182894684,1.899298334003345,0.6461229864473678,0.4922000417621779,0.563125581765051,1.188483264279942,0.3228254924073848,0.7322701098978607,0.7267369495857061,0.975809572707056,0.9081218650554038,-0.1417043529514611,0.5984221700998994,0.4905028526680238,2.9309141587998604,0.1322549564386831,3.131465505723461,0.5048317006061316,0.198371799787401,5.861828317599722,2.44727711758801,0.6363553301126783,28.494932559894355,0.325350960454102,0.7106507895507288,10.425813525749858,4.424728824750048,39.34700646104509,0.6766784025288729,0.14342397366063,3.3094062038796066,36.896264855687605,0.4143096288225294,0.5756578947368421,1.2896220044368447,0.6506303528772542,7.075094038245682,0.0956041330939712,4.777777777777778,0.2654320987654321,1.2499999999999998,11.27777777777778,197.44444444444449,1588.2777777777778,32.610925925925926,0.2039043209876543,3.6666666666666665,0.2037037037037037,0.411634409173872,4.76173136903365,0.1412244191688413,3.725480556997864,0.1184210526315789,126.1358024691358,1.501931216931217,0.0468532577105314,4.554058741268287,0.0303050803379423,0.3841276035315351,4.232374509937872,23.82894736842105,0.1567693905817174,2.9757617728531853,49.96052631578947,0.6640841412742383,9.782894736842104,22.289473684210527,190.17763157894737,3.453468567251462,0.1452631578947368,0.1177175453514739,1.3068958948711062,0.0247894742540047
1005,1005-rem-050,rem,20816,1109.0,1175.0,1302684.6911510376,2.295662216725607,33.0,11.533142653051993,1255.0,23.025231618379053,1140.8258551114527,1144.0,897.0,358.0,13.708871760994269,1141.3521328455288,-1.913324573451307,0.2676685218858431,1201.0594602603292,125.97925631175474,595.2855854523361,-38.32304577474171,6.431639125586516,1.4404384123034977,0.6341064049378166,0.8798669637713905,1.640969978786852,0.6569634618284632,0.6399846433215087,0.6147427466882851,0.9944820937411905,0.9500122971588196,-0.1263020848794363,0.6552977468342882,0.5073328650768663,11.168323484228772,0.085159558692462,4.278875126288776,0.8587795617411638,0.1719680221126593,22.336646968457543,3.004224324637883,1.968019384472503,3218.504723519965,0.2356584334820759,2.326845257432406,125.99209717961917,3.257938682234545,413.0313447394862,0.0286341040260001,0.0093365362131086,3.804105459400534,6879.756640449233,0.5015300176929128,0.6562259800153728,0.9181155227199084,0.7329002949373083,91.99136398116876,0.0069888682057857,704.7598288312383,0.1884888549963194,3.926613796833375,123.4308638673442,1540.2487296068468,188402.83605242043,12.657121295289128,0.0105342504690125,1012.2318801818668,0.270722621070304,0.5307976818912996,65.54073634862246,0.0055886339982807,5.402046809660002,0.1796214450422751,1509.254301447033,10.420023921015886,0.0003451855184587,86.92030406683024,0.0108930314392173,0.0711744569803113,4.814333955932852,3483.8214834742507,0.1673626769539897,2.6992217155726603,5571.787951575711,1.9975703443989457,126.43322444273636,16.763162951575712,2133.5141237509606,0.143554696498655,0.0090991945732436,0.1718694428972766,21.39613330411084,0.0017174049853872
