,feature,rem vs. tum
0,ft511_ImageNet,0.8175849689780311
1,ft1758_ImageNet,0.7551605728333399
2,ft1987_ImageNet,0.751180395676435
3,ft1739_ImageNet,0.749448823506458
4,ft1834_ImageNet,0.7338110196277363
5,ft249_ImageNet,0.7314258399344441
6,ft573_ImageNet,0.7185975728723611
7,ft1829_ImageNet,0.7094568228821165
8,ft168_ImageNet,0.7086568853162679
9,ft356_ImageNet,0.7052620283294964
10,ft1787_ImageNet,0.7005697116322627
11,ft567_ImageNet,0.6922191438716979
12,ft469_ImageNet,0.6867464002809537
13,ft830_ImageNet,0.6834881180005463
14,ft1725_ImageNet,0.6808444218987786
15,ft1557_ImageNet,0.680595660826472
16,ft1505_ImageNet,0.6805761501541343
17,ft1786_ImageNet,0.6800347289967612
18,ft673_ImageNet,0.678664104265033
19,ft879_ImageNet,0.6769227767588871
20,ft1743_ImageNet,0.6748839114995904
21,ft500_ImageNet,0.6727035938658447
22,ft1823_ImageNet,0.6716012408787606
23,ft113_ImageNet,0.6712793147851874
24,ft1924_ImageNet,0.6709817770320364
25,ft1916_ImageNet,0.6704110898661567
26,ft1683_ImageNet,0.6692502048620596
27,ft1149_ImageNet,0.6678990908026691
28,ft1331_ImageNet,0.6675039996878294
29,ft596_ImageNet,0.6652456393647326
30,ft1503_ImageNet,0.6650115112966793
31,ft1066_ImageNet,0.6642798610840128
32,ft1302_ImageNet,0.6629531353650446
33,ft582_ImageNet,0.6627775393140047
34,ft779_ImageNet,0.6618117610332852
35,ft1033_ImageNet,0.6609337807780856
36,ft912_ImageNet,0.6604265032973036
37,ft1738_ImageNet,0.6557536972724081
38,ft1859_ImageNet,0.6541830881492176
39,ft1908_ImageNet,0.6541245561322043
40,ft1334_ImageNet,0.6537977523705467
41,ft838_ImageNet,0.6532758418855114
42,ft1600_ImageNet,0.6524515159792407
43,ft1655_ImageNet,0.6524173723026496
44,ft422_ImageNet,0.650734576813517
45,ft1071_ImageNet,0.6507053108050104
46,ft1048_ImageNet,0.6495102821243219
47,ft441_ImageNet,0.6482128224138604
48,ft1770_ImageNet,0.6478713856479494
49,ft275_ImageNet,0.6469202403714833
50,ft4_ImageNet,0.64668611230343
51,ft1638_ImageNet,0.6464373512311234
52,ft670_ImageNet,0.6461251804737191
53,ft1026_ImageNet,0.6460178717758615
54,ft675_ImageNet,0.6453788972567995
55,ft623_ImageNet,0.6452618332227729
56,ft549_ImageNet,0.6442277675888711
57,ft1776_ImageNet,0.6439448628399734
58,ft689_ImageNet,0.6435058727123737
59,ft343_ImageNet,0.6434229523549382
60,ft1950_ImageNet,0.6433985640145159
61,ft72_ImageNet,0.6432229679634761
62,ft119_ImageNet,0.6429937175635072
63,ft2026_ImageNet,0.6428083661762984
64,ft835_ImageNet,0.6423596207125297
65,ft906_ImageNet,0.6421986576657431
66,ft1917_ImageNet,0.6421206149763921
67,ft1339_ImageNet,0.6417645452062278
68,ft496_ImageNet,0.6412962890701213
69,ft491_ImageNet,0.6404768408319351
70,ft734_ImageNet,0.6396134935809887
71,ft692_ImageNet,0.6395256955554689
72,ft1224_ImageNet,0.6391257267725445
73,ft1803_ImageNet,0.6370819838451633
74,ft485_ImageNet,0.63693565380263
75,ft1147_ImageNet,0.636560073360128
76,ft501_ImageNet,0.6363844773090881
77,ft1178_ImageNet,0.6352772466539198
78,ft1159_ImageNet,0.6349455652241777
79,ft99_ImageNet,0.6345065750965778
80,ft1374_ImageNet,0.634277324696609
81,ft1762_ImageNet,0.633360323096734
82,ft47_ImageNet,0.6327750029266008
83,ft945_ImageNet,0.6327359815819252
84,ft624_ImageNet,0.6323994224840989
85,ft1164_ImageNet,0.6310385530885395
86,ft1518_ImageNet,0.6310336754204551
87,ft487_ImageNet,0.6309312443906818
88,ft1389_ImageNet,0.630858079369415
89,ft1470_ImageNet,0.6306532173098686
90,ft1416_ImageNet,0.6302044718460997
91,ft292_ImageNet,0.6299459554376244
92,ft579_ImageNet,0.6297215827057401
93,ft1427_ImageNet,0.6294581886291801
94,ft1598_ImageNet,0.6290045654973271
95,ft489_ImageNet,0.6280387872166076
96,ft798_ImageNet,0.6279704998634253
97,ft1361_ImageNet,0.62731689234011
98,ft1265_ImageNet,0.6272193389784212
99,ft637_ImageNet,0.6271900729699146
100,ft1520_ImageNet,0.6268876575486793
101,ft2019_ImageNet,0.6263267257189683
102,ft244_ImageNet,0.6258243259062708
103,ft1673_ImageNet,0.6258145705701019
104,ft1239_ImageNet,0.6255072774807819
105,ft752_ImageNet,0.6250536543489289
106,ft1280_ImageNet,0.6245756428766536
107,ft727_ImageNet,0.6233220821789518
108,ft1796_ImageNet,0.622805049362001
109,ft618_ImageNet,0.6223465485620634
110,ft228_ImageNet,0.6223221602216413
111,ft375_ImageNet,0.6222733835407968
112,ft1939_ImageNet,0.6219709681195614
113,ft1540_ImageNet,0.6216002653451438
114,ft2036_ImageNet,0.621512467319624
115,ft1995_ImageNet,0.6213954032855973
116,ft1665_ImageNet,0.6209173918133218
117,ft543_ImageNet,0.6207174074218598
118,ft1240_ImageNet,0.6205857103835798
119,ft110_ImageNet,0.6204588910133844
120,ft289_ImageNet,0.6203710929878644
121,ft1800_ImageNet,0.6201467202559799
122,ft1194_ImageNet,0.6198686931751669
123,ft730_ImageNet,0.6198638155070824
124,ft1385_ImageNet,0.6197760174815624
125,ft1342_ImageNet,0.6196345651071137
126,ft1226_ImageNet,0.6196199321028603
127,ft1150_ImageNet,0.6190931439497405
128,ft326_ImageNet,0.6189370585710383
129,ft273_ImageNet,0.6187760955242517
130,ft1807_ImageNet,0.6173908377882702
131,ft1222_ImageNet,0.6169762360010926
132,ft1608_ImageNet,0.6168981933117414
133,ft1873_ImageNet,0.6166738205798572
134,ft1612_ImageNet,0.6166006555585906
135,ft1271_ImageNet,0.6162104421118353
136,ft2025_ImageNet,0.6158543723416708
137,ft815_ImageNet,0.6156690209544622
138,ft2018_ImageNet,0.6155178132438445
139,ft999_ImageNet,0.6153958715417334
140,ft390_ImageNet,0.6152641745034534
141,ft796_ImageNet,0.6150349241034847
142,ft1089_ImageNet,0.6149763920864714
143,ft2046_ImageNet,0.6148154290396847
144,ft1985_ImageNet,0.6147715300269248
145,ft464_ImageNet,0.6147276310141648
146,ft686_ImageNet,0.614454481601436
147,ft1601_ImageNet,0.6143813165801693
148,ft1969_ImageNet,0.6142593748780583
149,ft54_ImageNet,0.6142154758652983
150,ft1082_ImageNet,0.6140691458227651
151,ft1345_ImageNet,0.6135082139930543
152,ft1379_ImageNet,0.6135082139930542
153,ft1196_ImageNet,0.6135082139930542
154,ft1568_ImageNet,0.6131326335505521
155,ft247_ImageNet,0.6130155695165255
156,ft1323_ImageNet,0.6130106918484411
157,ft1645_ImageNet,0.6129863035080189
158,ft894_ImageNet,0.6129570374995122
159,ft817_ImageNet,0.6126838880867835
160,ft1896_ImageNet,0.6121570999336639
161,ft1623_ImageNet,0.6116156787762907
162,ft1223_ImageNet,0.6114400827252507
163,ft397_ImageNet,0.6111961993210286
164,ft30_ImageNet,0.6110254809380732
165,ft19_ImageNet,0.6108791508955399
166,ft701_ImageNet,0.6108450072189489
167,ft1812_ImageNet,0.6108059858742731
168,ft698_ImageNet,0.6104108947594333
169,ft1397_ImageNet,0.6103426074062512
170,ft150_ImageNet,0.610230421040309
171,ft801_ImageNet,0.6100889686658602
172,ft1712_ImageNet,0.6098645959339759
173,ft1997_ImageNet,0.609645100870176
174,ft1989_ImageNet,0.6096158348616694
175,ft426_ImageNet,0.6093524407851094
176,ft1135_ImageNet,0.6093182971085184
177,ft350_ImageNet,0.6092987864361806
178,ft1330_ImageNet,0.6092646427595895
179,ft387_ImageNet,0.609259765091505
180,ft1820_ImageNet,0.6091817224021541
181,ft1130_ImageNet,0.6090744137042963
182,ft677_ImageNet,0.6088500409724119
183,ft1035_ImageNet,0.6088354079681586
184,ft565_ImageNet,0.6087134662660476
185,ft1813_ImageNet,0.608640301244781
186,ft196_ImageNet,0.6086256682405276
187,ft1685_ImageNet,0.6085037265384166
188,ft367_ImageNet,0.6084403168533188
189,ft80_ImageNet,0.608376907168221
190,ft87_ImageNet,0.6083671518320521
191,ft2030_ImageNet,0.6080891247512388
192,ft1045_ImageNet,0.6079818160533812
193,ft700_ImageNet,0.6077671986576657
194,ft1438_ImageNet,0.6071038357981816
195,ft1816_ImageNet,0.6069867717641549
196,ft1731_ImageNet,0.6066355796620753
197,ft551_ImageNet,0.6063185312365864
198,ft62_ImageNet,0.6062746322238265
199,ft1900_ImageNet,0.606225855542982
200,ft1282_ImageNet,0.6058941741132399
201,ft11_ImageNet,0.6055820033558356
202,ft933_ImageNet,0.6055576150154134
203,ft1599_ImageNet,0.6054064073047958
204,ft814_ImageNet,0.6051576462324891
205,ft939_ImageNet,0.6046113474070317
206,ft1876_ImageNet,0.6044747727006672
207,ft365_ImageNet,0.6042455223006985
208,ft1555_ImageNet,0.6042211339602762
