,feature,rem vs. tum
0,ft812_MNIST,0.832608186678113
1,ft430_MNIST,0.8309497795294025
2,ft317_MNIST,0.8177605650290709
3,ft4_MNIST,0.8162192219143872
4,ft1972_MNIST,0.8133999297615797
5,ft953_MNIST,0.8104538182385765
6,ft982_MNIST,0.8073418660007023
7,ft789_MNIST,0.8056054161626409
8,ft1781_MNIST,0.8041421157373083
9,ft1541_MNIST,0.8039177430054241
10,ft1139_MNIST,0.8029812307332111
11,ft1737_MNIST,0.8020300854567449
12,ft1979_MNIST,0.7996839271081282
13,ft479_MNIST,0.7961134740703165
14,ft419_MNIST,0.7922503609474383
15,ft1036_MNIST,0.7845777890506107
16,ft134_MNIST,0.7813585281148788
17,ft1999_MNIST,0.7767881531197566
18,ft989_MNIST,0.774544425800913
19,ft1728_MNIST,0.7744224840988021
20,ft1121_MNIST,0.7729055293245406
21,ft1692_MNIST,0.771588558941741
22,ft712_MNIST,0.7700862371717329
23,ft786_MNIST,0.7697740664143288
24,ft1194_MNIST,0.7689302298357202
25,ft1401_MNIST,0.7682278456315605
26,ft1533_MNIST,0.7671986576657432
27,ft535_MNIST,0.7658329106020992
28,ft137_MNIST,0.7655841495297928
29,ft1762_MNIST,0.7634965075896516
30,ft579_MNIST,0.7630233737854606
31,ft1811_MNIST,0.7613454559644125
32,ft70_MNIST,0.7609845085261637
33,ft1382_MNIST,0.759696804151871
34,ft384_MNIST,0.7592626916923558
35,ft1152_MNIST,0.7580481523393297
36,ft936_MNIST,0.7562580481523393
37,ft279_MNIST,0.7527510047996255
38,ft1655_MNIST,0.7520681312678036
39,ft221_MNIST,0.7519803332422835
40,ft1098_MNIST,0.7519218012252703
41,ft1288_MNIST,0.7517852265189059
42,ft1973_MNIST,0.7502829047488977
43,ft441_MNIST,0.749614664221329
44,ft446_MNIST,0.7492634721192493
45,ft1609_MNIST,0.7484098802044717
46,ft1387_MNIST,0.7475416552854411
47,ft785_MNIST,0.746888047762126
48,ft584_MNIST,0.744849182502829
49,ft467_MNIST,0.7435273344519453
50,ft277_MNIST,0.7435029461115229
51,ft1471_MNIST,0.7433761267413275
52,ft541_MNIST,0.7427127638818434
53,ft548_MNIST,0.7421908533968081
54,ft288_MNIST,0.7398934717290359
55,ft1672_MNIST,0.738405782963281
56,ft289_MNIST,0.7378594841378234
57,ft1802_MNIST,0.7378009521208101
58,ft832_MNIST,0.7377521754399656
