diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,scan_id,group,class,mask size
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},baaa96549ff9acca2322c54d8d7c769bbeb3519c,2D,"(1.0, 1.0)","(512, 512)",501.9119682312012,0.0,1840.0,6411666054ca7809f8bb04dece5e9dadb8b6592f,"(1.0, 1.0)","(512, 512)","(144, 208, 24, 41)",844,1,"(155.03317535545023, 228.53080568720378)","(155.03317535545023, 228.53080568720378)",1104.3,1139.0,1061670127.0,1.320401537933757,17.0,2.9549180315887797,1157.0,10.556616540508974,1121.4845971563982,1121.0,1070.0,87.0,7.461227543622775,1121.5627463837363,-0.07543284062986802,0.4507367309808854,175.29241678084503,11.596262694187386,3.3313137092620693,-0.12550770801757902,1.0733776334137421,0.40385899045947604,0.4534018090440331,0.39123949307536965,0.9977352910649395,0.24805278897484065,0.806483503026333,0.8056422032007258,0.9845673823089919,0.9350938820442029,-0.13604750983138447,0.5375659838388844,0.38019743286427654,3.3806625071507903,0.23161101706824777,2.4687128720682487,0.4578657285632659,0.3535380619818147,6.761325014301581,2.0399885616667763,0.3693091559683045,141.17129274244826,0.4019849524656882,0.47805186095022995,11.797198456683603,9.677864118468579,113.36794099970955,0.9180702989704694,0.10409544792573805,3.7457806556548046,96.9847052190069,0.2704768920416901,0.41558056872037913,3.6213769431328133,0.49743302621716057,5.869011013824967,0.05560716078998303,12.244444444444444,0.27209876543209877,1.2809876543209877,12.244444444444444,4115.9111111111115,43800.0,410.8693271604939,0.1457283950617284,10.11111111111111,0.22469135802469137,0.4693501460393383,5.781382307277324,0.07900313779564129,4.235645873818982,0.0533175355450237,3764.1402469135805,6.184191512807718,0.008512787883398003,3.763580599052369,0.012561858846748531,0.08676761801878105,4.069036822230641,129.14928909952607,0.1530204847150783,3.4491082859774043,380.4218009478673,0.3669279665775701,11.753554502369669,35.65876777251185,417.8127962085308,3.3563885597682988,0.0986055160610848,0.06592029412036887,0.7876255108085889,0.008395782112438572,101-n1-192,1,n1,844
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},5999eacc26a03e4ba26426e65c80ce1e08190188,2D,"(1.0, 1.0)","(512, 512)",495.96574783325195,0.0,1834.0,d2761bf814c061bfa846886a7120445cfea4916d,"(1.0, 1.0)","(512, 512)","(133, 260, 33, 42)",934,1,"(148.10064239828694, 280.2933618843683)","(148.10064239828694, 280.2933618843683)",1091.0,1130.0,1151445004.0,1.4308555487357237,19.75,2.7630763179875197,1148.0,11.896019514968659,1110.220556745182,1110.0,1065.0,83.0,8.64402921953095,1110.3199974728045,-0.03968864363851164,0.4290037553475875,220.81216842665154,8.87889518645023,4.8335230250412025,-0.10455582333599359,1.3419364905181284,0.34937695501052424,0.5868135997228532,0.3386642271104405,0.9505867143614822,0.23270359420945583,0.8324533410947939,0.8317391592347881,0.9796374625505588,0.9326242455079147,-0.21934921367919563,0.6739727045276087,0.32929059019786716,2.9378137998722984,0.24091108948459994,2.5269502965262878,0.5903652874614154,0.4314993893219168,5.875627599744597,2.1527242682862866,0.4228283613821632,122.54433552253526,0.36009253463374047,0.5632883938390147,8.975927174460702,12.653480813378543,113.68611868792158,1.654298019771201,0.15634662066362753,4.054411126241029,77.09236579137315,0.22246118459984202,0.36429336188436834,4.7892187586478485,0.4319534447271971,3.7918719355772277,0.07783542518413027,13.428571428571429,0.3197278911564626,1.1564625850340136,8.523809523809524,7359.285714285715,65890.14285714286,848.5133928571429,0.25578703703703703,6.0476190476190474,0.14399092970521543,0.3289900527657852,2.7066962580879967,0.1159663154942026,4.338396886909933,0.044967880085653104,6864.752834467121,9.540116408290272,0.009519872551941765,1.9624675851466313,0.02191510890565575,0.052174893064284404,4.18798664862338,139.81584582441113,0.14969576640729243,3.5815286419764414,400.6895074946467,0.42969613323001166,9.010706638115632,40.61670235546038,365.7323340471092,5.333548953128718,0.14126070663811563,0.05108865455135977,0.4436422971619451,0.010803254386161216,101-n2-170,1,n2,934
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},59499130857e0f74828c86a9f2f5e31861ffd794,2D,"(1.0, 1.0)","(512, 512)",496.98686599731445,0.0,1814.0,119a680050c064196d66af7cca858f3121b41bb3,"(1.0, 1.0)","(512, 512)","(276, 146, 87, 70)",4719,1,"(319.87370205552025, 181.35812672176309)","(319.87370205552025, 181.35812672176309)",1014.0,1045.0,5002480729.0,1.2377310687871221,17.0,3.2104466838329997,1076.0,9.723327100891684,1029.5255350709897,1030.0,983.0,93.0,7.01587323431153,1029.5980786913115,-0.08212983379389828,0.48570954881999207,149.37628163253777,7.43084745407554,2.828856750940016,-0.19257707062105983,0.9733549620140192,0.3301249126008411,0.4934320250576517,0.3224228440629302,0.9251693588001049,0.22394439962205145,0.8400722560581868,0.8395587848223262,0.9873641776469537,0.946446241907081,-0.1678641043207162,0.5706342980847862,0.315683534092258,2.6963011466747444,0.2853682619604369,2.2649975012890184,0.4952580274063446,0.4594263928578137,5.392602293349489,1.9142008673034336,0.32586996865371504,635.9086889025057,0.40511723775119357,0.45698388931140643,7.4941580889336645,17.197814978990536,136.57875922759405,2.495213862760658,0.1800937363190503,4.110836614413438,337.5001510282238,0.209618126362343,0.33243271879635516,7.6047264695618875,0.41962990979390147,3.228628497191263,0.08092385397438644,59.226190476190474,0.35253684807256236,1.1899092970521543,9.083333333333334,50398.32738095238,444631.4583333333,5850.803396164021,0.23353835978835977,25.261904761904763,0.1503684807256236,0.37783088864650843,4.166099470515038,0.07975700532392911,4.9492323754891485,0.03560076287349015,49609.319409013595,33.332255828220866,0.0017371113671152962,3.241517561190093,0.009540269108841034,0.017537185350607793,3.954740029580281,705.940453485908,0.14959534932949947,3.6562312000097354,2292.063360881543,0.326481599208872,7.600127145581691,43.85865649502013,338.81097690188597,6.642579289397471,0.16335523062795787,0.046946592468778615,0.3959196594117229,0.008855946506716356,101-c1-183,1,c1,4719
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},96b27c1c5158141eac7d1eac537131521f7a2288,2D,"(1.0, 1.0)","(512, 512)",484.7468032836914,0.0,1847.0,253be2dcef84e5cbd9f2711e600cc23a0be8bf25,"(1.0, 1.0)","(512, 512)","(174, 225, 24, 21)",402,1,"(184.91542288557213, 234.45771144278606)","(184.91542288557213, 234.45771144278606)",1022.1,1055.0,434171278.0,1.2453182030418397,16.0,2.980981882953362,1073.0,10.11197742630133,1039.1641791044776,1040.0,1002.0,71.0,6.884502285498006,1039.2439822901877,-0.1662642262763044,0.5001237593128883,165.86359248533446,4.432287101407406,2.5989776248899634,-0.008077707538869425,0.9315862067078167,0.39014222459749764,0.4092879314905274,0.37798860238837007,0.9896808390885939,0.24493460409284584,0.8130313025073362,0.8122210610267278,0.9615467139499023,0.9061105305133639,-0.11330596072966967,0.48232131478762175,0.3673541829553834,2.0728990430342566,0.27891573518543106,2.348630021603583,0.41000941012630426,0.4813204683412506,4.145798086068513,1.9313242268723765,0.3304321078263286,65.00810567829063,0.3894903288038864,0.4724923733073436,4.79003453451323,10.201598275560348,44.61791228580482,2.8600034884640593,0.361657218921084,3.583842175561276,48.13225532206724,0.28172889405091367,0.4154228855721393,4.165863060801638,0.4932279310431064,2.389023405855373,0.19550105156127476,10.76,0.4304,0.9184000000000001,5.08,2899.84,11841.24,727.0677777777778,0.5133333333333333,3.32,0.1328,0.2413894167314141,1.4288377947343553,0.09278380584646967,3.8332696895151033,0.06218905472636816,2641.2736,10.262111424611426,0.020360304063607497,0.905764431769924,0.03599403583831038,0.045811797309186185,3.8042062311442817,60.63681592039801,0.15083785054825374,3.3033835796143665,201.0497512437811,0.3306168164154352,4.624378109452737,35.527363184079604,157.87313432835822,9.921572692095081,0.3205500276395799,0.0555695492680212,0.2808730981336703,0.020889221417791363,101-c2-152,1,c2,402
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},459720cd39563deb3125c58f62e6f7ff114c2385,2D,"(1.0, 1.0)","(512, 512)",498.93416595458984,0.0,1847.0,6dc8c2d5990a103b1d4d5aa7269abc88421773f2,"(1.0, 1.0)","(512, 512)","(175, 166, 61, 64)",2649,1,"(208.236315590789, 194.5269913174783)","(208.236315590789, 194.5269913174783)",1048.0,1088.0,3017235655.0,1.5340192502256609,21.0,3.436993206162832,1123.0,12.581186430316016,1067.1223103057757,1066.0,1016.0,107.0,8.71849998557361,1067.2437899963477,0.3916954227928148,0.4135505025436781,259.2821334318342,10.467487074480394,8.494236929040381,0.7620369015578544,1.591399034060341,0.37232144511496856,0.6204718569424391,0.356503936879497,0.9781438143955642,0.2426472817748668,0.8243842829328301,0.8233297823837987,0.9858058131844546,0.9409592845256903,-0.2360559661820767,0.7072302751663504,0.34266361717345933,3.1878991062511512,0.2300717898593191,2.68517763933827,0.657926739897053,0.42112483523121985,6.3757982125023025,2.279615560491459,0.4909301197938274,327.65030975610887,0.3373323316862488,0.6547480557504037,11.079674563123254,14.387697494845984,149.18161618384835,1.5839493051074873,0.12068174937086512,4.190362472417782,240.8392443870267,0.24307527594906275,0.3669309173272933,6.562109611330418,0.4726823791923669,5.37786388331097,0.059468810513984435,40.25,0.33541666666666664,1.3055555555555556,12.416666666666666,19052.041666666668,175939.825,2095.2533310185186,0.14827314814814815,18.4,0.15333333333333332,0.38139396034090794,5.244426911114314,0.05843515013753976,4.860598359486181,0.045300113250283124,18564.736041666663,16.15752122453161,0.0035988325424495715,3.1189531515373177,0.015259015483373894,0.0313652018697948,4.328824478954558,371.91355228388073,0.14039771698145742,3.9305252906393875,1095.495281238203,0.499026321178487,10.763684409211024,40.709324273310685,428.41562853907135,4.492794870181619,0.11488664485550104,0.055084033134386805,0.6557365168604249,0.007130940851188114,101-hem-175,1,hem,2649
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},b00015bd5e7a83909641b542d518808327ba430e,2D,"(1.0, 1.0)","(512, 512)",496.3528289794922,0.0,1845.0,edbecbf6f60bb2886d328817436c47db8d939263,"(1.0, 1.0)","(512, 512)","(93, 225, 30, 32)",685,1,"(108.34744525547445, 239.2992700729927)","(108.34744525547445, 239.2992700729927)",1050.0,1087.0,782583808.0,1.4349511819194354,20.0,2.9660443075324188,1113.0,11.906074910757102,1068.7532846715328,1069.0,1023.0,90.0,8.263180165289253,1068.858322636173,-0.11528210057270083,0.42957429804464803,224.53037242261178,10.704236813989958,4.87160129040441,-0.05286863087623225,1.2846865412551882,0.41298024955535706,0.5131260737768433,0.3897234786593509,1.0208834297821314,0.2574393141199235,0.8090143891529923,0.8074639377599252,0.9843012113902795,0.9355998195304894,-0.16837280901631074,0.6026084843678519,0.36937380412534554,3.238251999847002,0.22759125594221227,2.6168128663983996,0.5240072543762266,0.3981043288458111,6.476503999694004,2.1622214993874858,0.42441669770263624,103.09586550239968,0.3650815968802505,0.5715594352765538,11.574483294442834,10.197348567155302,106.5912524744181,1.0990059588001064,0.1112050362390094,3.825801335049963,77.5769674179152,0.26878470254734393,0.41204379562043797,4.0160728529942595,0.49629554623460403,5.962910505237621,0.057110966919913325,12.073170731707316,0.2944675788221297,1.2563950029744198,12.585365853658537,3636.3658536585367,33588.48780487805,400.9736246612466,0.14287940379403793,6.365853658536586,0.1552647233789411,0.3599730376639589,4.103036236066994,0.07098625981145174,4.549761383184814,0.059854014598540145,3357.2314098750744,4.680103615520283,0.01168297260954076,3.5723876349136843,0.014468011712121984,0.10777563649439087,4.195786257767498,95.77956204379562,0.139824178166125,3.8727604027918376,294.2583941605839,0.4281229687250253,11.045255474452555,36.40437956204379,383.13284671532847,3.907426196269262,0.10886171938361719,0.0639867701879346,0.7541868019578741,0.00865571228425662,101-met-201,1,met,685
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},be84a27afdb37d7a00b23d4b85688cecc5889901,2D,"(1.0, 1.0)","(512, 512)",501.92227935791016,0.0,1835.0,6411666054ca7809f8bb04dece5e9dadb8b6592f,"(1.0, 1.0)","(512, 512)","(144, 208, 24, 41)",844,1,"(155.03317535545023, 228.53080568720378)","(155.03317535545023, 228.53080568720378)",1106.0,1139.0,1062652130.0,1.3522675696501476,19.0,3.399144639326271,1175.0,10.910087374497431,1121.9976303317535,1123.0,1069.0,106.0,7.77395066332783,1122.0813271502811,-0.027055752154971878,0.4444559870622852,187.82226926618898,11.842810046792042,4.167699607001603,-0.04568376902537601,1.1023227005904317,0.42255137910120844,0.44582656367332635,0.3973805365782743,1.0317369777911314,0.26186376163102015,0.8055048721313518,0.8038268159631562,0.9886817364128981,0.943680831248156,-0.13193167182703666,0.5315044826154549,0.375356049370707,3.4165567970300903,0.2308998972614033,2.5080242918270477,0.46949417700622076,0.34742720414675965,6.833113594060181,2.046864382377049,0.38121851992291006,138.53699387393902,0.394439285330515,0.5164452773628925,12.232979730407093,9.28088423886284,109.13306282472078,0.8803449242083128,0.1024443192431187,3.7950927694681917,93.1553186857976,0.26112474868364305,0.4155805687203792,3.2795292111206082,0.4920452220882141,6.136435008007485,0.05391606690978799,10.19047619047619,0.24263038548752835,1.5215419501133787,12.952380952380953,3638.714285714286,38408.04761904762,365.56083994708996,0.14584656084656084,7.095238095238095,0.1689342403628118,0.3828524038813437,5.664965422901793,0.05408857633050081,4.556140863760566,0.04976303317535545,3234.8956916099773,4.5170734108851,0.008538047995521136,5.515368443706005,0.008879855777658765,0.1365880334231222,4.11042047900458,124.760663507109,0.1478206913591339,3.5462646840816694,375.12085308056874,0.38644122998135716,12.014218009478673,35.75592417061611,421.82464454976304,3.3474219984202214,0.09747860716166401,0.06188753158363574,0.801199195087461,0.007166114442441278,102-n1-192,1,n1,844
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},4eacc5cb44c7283e17440cb18aa6e98307028371,2D,"(1.0, 1.0)","(512, 512)",495.9485321044922,0.0,1860.0,d2761bf814c061bfa846886a7120445cfea4916d,"(1.0, 1.0)","(512, 512)","(133, 260, 33, 42)",934,1,"(148.10064239828694, 280.2933618843683)","(148.10064239828694, 280.2933618843683)",1091.3,1129.0,1151271419.0,1.4523767488985042,19.0,3.5446564042657602,1167.0,11.48457281201711,1110.1381156316916,1110.0,1066.0,101.0,7.9696543281103756,1110.2363016990025,0.25392885620952066,0.44195947526010027,218.0098319951946,8.69372030276028,6.057969543552612,0.21039402388814746,1.3197806439662314,0.397780923961916,0.536462585116632,0.3802921695185002,1.0005873171684225,0.24976577359529228,0.8127687076479859,0.8116027906850914,0.9848399015010145,0.9370343706622362,-0.1827942251645347,0.6260177618340816,0.3649895093805114,2.909161024407176,0.24103182303833698,2.606287115570942,0.5555391892726649,0.43428938552223095,5.818322048814352,2.175093114531964,0.4293903919820368,132.28349626704266,0.3534036243765711,0.6113803844147727,9.083183080360499,11.453392673416277,100.87592348478955,1.5088651060334528,0.15477847720601948,3.9566353534911842,102.87963449479972,0.2679570514902315,0.4006959314775161,4.882231619718516,0.4981228623639239,4.652112687644786,0.07999621387976494,17.612244897959183,0.35943356934610576,1.3261141191170345,10.448979591836734,6671.102040816327,59712.30612244898,757.886723356009,0.19703514739229022,5.979591836734694,0.12203248646397334,0.2938628444437752,3.280771489142628,0.05973391267192889,4.529786181692135,0.05246252676659529,6307.771761765931,6.421977561029575,0.009385523139197658,3.3151612456868715,0.014199524681493384,0.08129669747464548,4.210283198477551,130.27194860813705,0.1394774610365493,3.857099624465241,412.79014989293364,0.44032596783881806,8.902569593147751,37.43254817987152,328.1531049250535,5.033436830835117,0.14436176540566262,0.05647651812925979,0.5417452843517453,0.009476013355246709,102-n2-170,1,n2,934
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},108bd2fa1917771b4cfbb424ee5933b21c6ddba5,2D,"(1.0, 1.0)","(512, 512)",496.7853012084961,0.0,1780.0,d726cdd4f182bc147efaf45bc208b02b93a13380,"(1.0, 1.0)","(512, 512)","(276, 146, 87, 70)",4687,1,"(319.65436313206743, 181.4994666097717)","(319.65436313206743, 181.4994666097717)",1014.0,1047.0,4978233529.0,1.2660684065157775,17.0,3.020798647952292,1079.0,10.091114385676708,1030.5225090676338,1030.0,992.0,87.0,7.302497154488364,1030.6000424062302,0.10682121163826033,0.4783139033016662,159.8057126719361,7.714131081971598,2.9639698671031636,-0.021719736366481522,1.0143086711846254,0.33984055350018205,0.49804287410662273,0.33229941087771164,0.9354419393315384,0.22729882383839306,0.8351071516648892,0.8346044088233913,0.9869892185732488,0.9447963158685355,-0.16771472489512232,0.5764739167532691,0.32570091108305005,2.74690989519941,0.27610578689946974,2.3164694554666054,0.49851888083036827,0.45501375781032005,5.493819790398819,1.9572732196430456,0.3385373061712019,628.3574325358142,0.39153580655198955,0.4849528368896676,7.977687875576771,16.073974960269833,129.67267486760394,2.2810901610626404,0.16703692862875108,4.093370994850897,360.63353680288964,0.21959269909478327,0.34222317047151696,7.085117328180417,0.43806821048565736,3.6611932683449604,0.07747165304872027,62.632183908045974,0.3599550799312987,1.2095719381688466,9.5,46953.2816091954,418300.0172413793,5340.140916347382,0.22184386973180076,29.689655172413794,0.17063020214030916,0.4081351174867332,4.020457426837613,0.11047932534766211,4.842051435514482,0.037123959889054835,46227.691405733916,33.035349171235424,0.0017632521974071673,3.2746128474764595,0.010143542054992733,0.01715783653014104,3.9950849871347245,687.7932579475143,0.14674488114945902,3.7377295097239074,2241.8572647749093,0.33942937556038977,7.887561339876253,42.95306165991039,337.95498186473225,6.3227808595879855,0.15539921295308537,0.049773774239958574,0.4278451547135382,0.009717086476626544,102-c1-183,1,c1,4687
3.1.0a2,1.26.4,2.4.1,1.6.0,3.9.21,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},127711ffd185ee06882b79d29ce6d2881c937d42,2D,"(1.0, 1.0)","(512, 512)",484.31507110595703,0.0,1849.0,253be2dcef84e5cbd9f2711e600cc23a0be8bf25,"(1.0, 1.0)","(512, 512)","(174, 225, 24, 21)",402,1,"(184.91542288557213, 234.45771144278606)","(184.91542288557213, 234.45771144278606)",1020.0,1050.0,431051003.0,1.1212228153724229,16.0,2.9873398611337105,1074.0,9.485953317987178,1035.4353233830846,1035.0,1004.0,70.0,6.750807100591714,1035.5028617135326,0.13213416010784737,0.5613103636048614,139.86770748248804,3.8693920362856726,2.1459407283888763,-0.08402546342400834,0.7799014427973234,0.32292316750171407,0.41473597156055697,0.314872259450806,0.9164829771231631,0.22209016301851367,0.8439056882830817,0.8433689610796878,0.9680792636214091,0.9216844805398439,-0.12837148897773387,0.4873568970529152,0.30782771490626143,1.937816531794846,0.3546389434891193,2.104522583278127,0.42051415207458653,0.5670018314429054,3.875633063589692,1.7636232574580015,0.2757061525747594,57.7706549252276,0.4004008116411356,0.4541663467995892,4.1744320358365,14.256441963246537,56.52015225746853,4.384784259443275,0.4220449622131108,3.733481272973242,35.75362838536491,0.24252378135991143,0.35883084577114427,6.128040036455695,0.4690212885706415,2.072060812130294,0.2172244582736925,9.666666666666666,0.4603174603174603,0.9433106575963719,4.571428571428571,4067.809523809524,16234.095238095239,1047.3492063492063,0.5833333333333334,2.7142857142857144,0.1292517006802721,0.2672408327760845,0.9899860378002766,0.18693557407088815,3.748994803525092,0.05223880597014925,3701.360544217686,8.609988002050132,0.022842446444413706,0.7830571737779196,0.02556429943981216,0.05048350769280407,3.7849317750044733,55.01990049751244,0.13686542412316527,4.2568995816935224,225.64676616915423,0.274423900398505,4.019900497512438,41.82587064676617,163.72139303482587,13.300580431177448,0.3638750690989497,0.05266127436325553,0.21843271830567496,0.02548806724988687,102-c2-152,1,c2,402
